uint32 SIZE,uint32 SF,uint32 BAD_WIDTH,uint32 CODE_RATE,uint64 TIMESTAMP,string PHY_PAYLOAD
68,7,125,5,1504819443,40D12B0126004C47016C23B5E3C77792637EBADA7A4DBE8174A3D178AA05AD442AC9
68,7,125,5,1504819511,40D12B0126004D4701E8D00F99CC682E58666ED400D0159EA136D5312B459D796BE8
68,7,125,5,1504819579,40D12B0126004E47016CF9FE6807517DB5DA16268CBF8175A7F205BB7796BA362076
68,7,125,5,1504819647,40D12B0126004F4701C0672D5ED66399E426640181602F2D67CCE23FEBF4D2A73EF9
68,7,125,5,1504819783,40D12B012600514701C574A260D465E7805C2192913BFF1F1560BE8D54DA406C6298
68,7,125,5,1504819851,40D12B012600524701A1A272B22604C47583BFCC34B371C487F1C571995259FAA223
68,7,125,5,1504819987,40D12B012600544701C351C729EFD4953F2CBD1C4F4E6FC2E8C59BE0523433FE9427
68,7,125,5,1504820055,40D12B0126005547015405DBACA0A76AB61E24165AA19F7D5A4EED665AD71814A6EE
68,7,125,5,1504820123,40D12B012600564701EFC0ECF78C719B7C70A056FE7DF4B13808304B1CE025FB67BD
68,7,125,5,1504820259,40D12B012600584701D71559292023ABE9F20C05B69E9CEF1C5B1D08DCD3DF49FB07
68,7,125,5,1504820327,40D12B012600594701556C60FD4CA099F53F10348C1DCEA37910E275EEA43FD77DCE
68,7,125,5,1504820395,40D12B0126005A47015EB673385BC602BDA8CB8D8A29D2AC57274D1029C55B08CC49
68,7,125,5,1504820463,40D12B0126005B4701C399CE536315F47CD714F5E2CD6E91684FC7196D3E420A9335
68,7,125,5,1504820531,40D12B0126005C4701703C88069EB0C5B76B1032A4A25EE6092E7E1BBB7A847E7CD3
68,7,125,5,1504820667,40D12B0126005E4701D7150BCCB86380F3532DAF60A58AE1E960732CAF435C1CC8E1
68,7,125,5,1504820735,40D12B0126005F4701E8CFAC863E86B969BFD1B16637E235C6C751D3ACF58630D958
68,7,125,5,1504820871,40D12B0126006147017E03C368482CAA8E93EF009D5635268FF7AB8ED08066B7F23A
68,7,125,5,1504821007,40D12B012600634701CFAF9044EF8241359C28F0552E570FE3892230717944F9266E
68,7,125,5,1504821075,40D12B0126006447010181407F7DBA9841EFF9ED303DF30623A3997E86E130A52B17
68,7,125,5,1504821211,40D12B012600664701AC2D738C9AF44AF6ECE100F3E1366B6306A1100920FDCD18C3
68,7,125,5,1504821279,40D12B012600674701976D7D1A9012B59AD121FFEC0E8A1D180E4A62E35F19FF4D37
68,7,125,5,1504821347,40D12B01260068470148267A2FB2EB995610C07A755E0EA76AC6956FB841D5925E3F
68,7,125,5,1504821415,40D12B0126006947015005574B8AA511BDC67727E150F6C7DE3A2E3FC3EBEE2834C3
68,7,125,5,1504821483,40D12B0126006A4701A66D6AE46D2CE7DD243255E9C2653597AE33AA56E4888737A4
68,7,125,5,1504821551,40D12B0126006B4701927667EF4C5A80D04B61111A1DDFF47752EC5B98CD004C7721
68,7,125,5,1504821619,40D12B0126006C4701EAC5FF187C48D112D6F875B7E5D47B48AA53DABC0BC8432769
68,7,125,5,1504821755,60D12B0126006E4700232EA092E231AD42775BE4A5C215B6297B48AF50F38917BBDD
68,7,125,5,1504821823,40D12B0126006F4701AC17154A7366B4C0170A974D95F07666D19544DD693B0789CC
68,7,125,5,1504821891,40D12B0126007047018A9F652D25E57D2EBB5F93A5FCB7C4DBA6A8669994A49E58DF
68,7,125,5,1504821959,40D12B012600714701C93ED6F0CE1E46D387B8A101E58F6ECCEA20D48C50EFB5F242
